Number_of_Riders,Number_of_Drivers,Location_Category,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,demand_multiplier,supply_multiplier,adjusted_ride_cost,profit_percentage,Loyalty_Gold,Loyalty_Regular,Loyalty_Silver
62,21,Rural,61,4.57,Night,Economy,56,215.4338699200544,1.55,1.8095238095238095,215.4338699200544,0.0,0,1,0
84,59,Suburban,67,4.27,Morning,Premium,164,758.9961232252967,1.037037037037037,0.6440677966101694,629.6856726017277,-17.037037037037038,0,0,1
49,8,Urban,1,4.06,Afternoon,Premium,157,694.4247148756359,1.225,1.375,1169.6716291186494,68.43750000000003,0,1,0
34,22,Suburban,34,3.64,Morning,Economy,176,617.3632185255483,0.85,1.7272727272727273,617.3632185255483,0.0,1,0,0
49,30,Rural,86,3.62,Afternoon,Premium,69,328.63536897966003,1.225,1.2666666666666666,509.93254753343916,55.16666666666667,0,0,1
83,50,Rural,7,3.66,Evening,Premium,100,376.3000600585162,1.0246913580246915,0.76,308.47313565290716,-18.024691358024672,0,1,0
88,5,Urban,89,3.59,Night,Economy,27,70.20380336705749,1.0864197530864197,2.2,167.79575718348556,139.01234567901236,0,0,1
90,71,Suburban,88,3.84,Morning,Economy,167,451.6848649701074,1.1111111111111112,0.5352112676056338,401.4976577512066,-11.11111111111111,1,0,0
65,5,Rural,24,3.54,Night,Economy,119,301.40392677127403,1.625,2.2,1077.5190382073047,257.5,0,0,1
73,28,Urban,22,4.57,Afternoon,Economy,53,153.39607111804412,1.825,1.3571428571428572,153.39607111804412,0.0,0,0,1
85,62,Suburban,54,3.78,Morning,Economy,114,339.66230419418656,1.0493827160493827,0.6129032258064516,285.14860105190974,-16.049382716049372,0,0,1
65,27,Rural,62,3.54,Night,Premium,162,733.4425366578176,1.625,1.4074074074074074,733.4425366578176,0.0,1,0,0
74,42,Urban,88,3.5,Evening,Economy,77,203.8363809804033,1.85,0.9047619047619048,203.8363809804033,0.0,1,0,0
41,7,Rural,68,4.3,Evening,Premium,66,284.5088586099128,1.025,1.5714285714285714,284.5088586099128,0.0,1,0,0
79,23,Urban,88,3.88,Night,Economy,164,492.1134583590864,1.975,1.6521739130434783,492.1134583590864,0.0,1,0,0
53,7,Urban,64,4.55,Night,Premium,10,86.19117981050438,1.325,1.5714285714285714,86.19117981050438,0.0,0,0,1
35,14,Urban,74,5.0,Night,Premium,175,727.8809447636283,0.875,2.7142857142857144,727.8809447636283,0.0,0,0,1
53,40,Rural,79,3.66,Evening,Premium,30,158.65264164620277,1.325,0.95,158.65264164620277,0.0,1,0,0
36,23,Urban,42,4.66,Morning,Economy,14,44.52503661261306,0.9,1.6521739130434783,44.52503661261306,0.0,0,0,1
38,25,Urban,2,4.24,Morning,Premium,128,452.4258268814717,0.95,1.52,653.3028940168451,44.39999999999999,0,1,0
52,36,Rural,1,4.52,Morning,Premium,36,152.64047921471024,1.3,1.0555555555555556,152.64047921471024,0.0,0,0,1
91,64,Suburban,26,4.56,Morning,Premium,96,420.2245689053783,1.123456790123457,0.59375,377.68331625075984,-10.123456790123436,0,1,0
87,5,Urban,59,4.32,Night,Economy,42,151.35930066309265,1.0740740740740742,2.2,357.65642156686346,136.29629629629633,0,0,1
96,20,Suburban,88,3.6,Evening,Premium,71,242.27196569085137,1.1851851851851851,1.9,242.27196569085137,0.0,1,0,0
83,59,Urban,8,4.85,Morning,Economy,31,119.0485543701777,1.0246913580246915,0.6440677966101694,97.59041987876296,-18.024691358024686,1,0,0
48,23,Rural,0,4.46,Afternoon,Economy,174,472.56954081275165,1.2,1.6521739130434783,472.56954081275165,0.0,1,0,0
65,19,Suburban,24,4.59,Evening,Economy,96,334.6493506052282,1.625,2.0,334.6493506052282,0.0,0,0,1
79,29,Suburban,0,4.86,Morning,Economy,127,406.0855256604135,1.975,1.3103448275862069,406.0855256604135,0.0,0,0,1
100,22,Suburban,45,4.23,Night,Premium,141,551.365137615676,1.2345679012345678,1.7272727272727273,1175.750574040162,113.24354657687992,0,0,1
73,63,Suburban,25,4.19,Afternoon,Economy,129,534.0181945871103,1.825,0.6031746031746031,779.6665640971811,46.00000000000001,0,0,1
79,67,Rural,56,4.01,Evening,Premium,151,501.2363000548165,1.975,0.5671641791044776,501.2363000548165,0.0,1,0,0
88,55,Rural,56,4.0,Night,Premium,26,159.60691863182956,1.0864197530864197,0.6909090909090909,138.72008730470125,-13.086419753086414,0,1,0
76,34,Suburban,10,4.92,Morning,Economy,103,359.8010509571677,1.9,1.1176470588235294,359.8010509571677,0.0,0,0,1
49,30,Suburban,80,3.74,Night,Economy,85,348.6695624527248,1.225,1.2666666666666666,541.0189377391447,55.166666666666686,0,0,1
100,64,Rural,7,4.89,Night,Premium,115,490.5040759704239,1.2345679012345678,0.59375,484.4484700942458,-1.2345679012345745,0,1,0
87,26,Rural,63,4.2,Morning,Premium,118,485.683239513509,1.0740740740740742,1.4615384615384615,485.683239513509,0.0,1,0,0
22,5,Rural,93,4.85,Evening,Economy,99,424.9275101964327,0.55,2.2,424.9275101964327,0.0,0,0,1
21,11,Rural,23,3.76,Afternoon,Economy,12,40.442890652890384,0.525,1.0,32.354312522312306,-20.000000000000004,0,0,1
93,57,Suburban,34,4.89,Morning,Premium,80,258.424915281181,1.1481481481481481,0.6666666666666666,237.368070332344,-8.148148148148152,0,1,0
28,15,Rural,90,4.25,Night,Premium,177,511.929390993806,0.7,2.533333333333333,511.929390993806,0.0,1,0,0
97,7,Urban,22,3.74,Afternoon,Premium,147,441.74670095471794,1.1975308641975309,1.5714285714285714,831.2940562939754,88.18342151675485,0,0,1
48,12,Urban,51,4.63,Night,Premium,32,175.5180543386476,1.2,3.1666666666666665,175.5180543386476,0.0,0,0,1
70,37,Urban,10,3.65,Night,Premium,168,658.5834276725151,1.75,1.027027027027027,1183.6702146006014,79.72972972972973,0,0,1
78,12,Rural,99,4.3,Afternoon,Economy,95,299.2909931126892,1.95,3.1666666666666665,1848.1218824708558,517.5,0,0,1
25,7,Rural,24,3.85,Evening,Premium,144,494.8027992189699,0.625,1.5714285714285714,622.0378047324193,25.714285714285722,0,1,0
24,9,Urban,6,4.05,Afternoon,Premium,69,223.51901195083732,0.6,1.2222222222222223,218.5519227963743,-2.2222222222222103,1,0,0
92,37,Rural,7,4.92,Morning,Premium,103,434.5710508212173,1.1358024691358024,1.027027027027027,434.5710508212173,0.0,0,0,1
43,33,Rural,16,4.01,Morning,Premium,159,630.4284012724294,1.075,1.1515151515151516,630.4284012724294,0.0,1,0,0
96,23,Urban,8,4.23,Morning,Premium,90,445.1254111184949,1.1851851851851851,1.6521739130434783,445.1254111184949,0.0,1,0,0
88,46,Rural,35,4.89,Afternoon,Premium,72,361.98552095653855,1.0864197530864197,0.8260869565217391,324.873747203077,-10.252281266774018,1,0,0
83,43,Suburban,20,3.59,Morning,Economy,63,267.28219711727195,1.0246913580246915,0.8837209302325582,242.03504154690663,-9.445879988515642,0,1,0
50,29,Urban,2,4.81,Morning,Economy,143,518.9547629602604,1.25,1.3103448275862069,518.9547629602604,0.0,0,1,0
97,75,Urban,15,4.94,Afternoon,Economy,163,575.4934491747886,1.1975308641975309,0.5066666666666667,551.3369340242419,-4.197530864197521,0,1,0
84,24,Suburban,39,4.08,Afternoon,Economy,86,349.4432162449335,1.037037037037037,1.5833333333333333,573.7771328466191,64.19753086419749,0,1,0
68,40,Suburban,58,4.64,Morning,Premium,68,279.2349662242834,1.7,0.95,279.2349662242834,0.0,0,0,1
77,30,Urban,99,4.7,Evening,Premium,179,689.7483154802385,1.925,1.2666666666666666,689.7483154802385,0.0,0,1,0
82,67,Urban,13,4.43,Afternoon,Economy,33,88.76294359232648,1.0123456790123457,0.5671641791044776,71.88702592168664,-19.012345679012334,0,1,0
21,8,Suburban,37,3.71,Evening,Premium,171,621.7963494961118,0.525,1.375,621.7963494961118,0.0,1,0,0
75,24,Rural,44,3.79,Night,Premium,72,307.621949405299,1.875,1.5833333333333333,913.2526622969814,196.87499999999997,0,1,0
61,9,Urban,74,3.98,Evening,Premium,32,172.41053126646165,1.525,1.2222222222222223,172.41053126646165,0.0,1,0,0
90,13,Suburban,24,3.73,Afternoon,Economy,126,444.2453020895959,1.1111111111111112,2.923076923076923,1442.8479896927047,224.7863247863248,0,1,0
100,21,Suburban,20,3.52,Night,Premium,163,556.8967118375435,1.2345679012345678,1.8095238095238095,1244.0961228587096,123.3980011757789,0,1,0
93,31,Suburban,13,3.58,Afternoon,Premium,101,355.3245754797394,1.1481481481481481,1.2258064516129032,355.3245754797394,0.0,1,0,0
92,14,Urban,57,3.73,Morning,Premium,133,474.99773906008016,1.1358024691358024,2.7142857142857144,1464.3669274726988,208.28924162257496,0,0,1
61,12,Rural,59,4.72,Afternoon,Premium,178,581.9712306098094,1.525,3.1666666666666665,581.9712306098094,0.0,1,0,0
53,12,Suburban,79,3.6,Night,Premium,154,663.4393972369916,1.325,3.1666666666666665,663.4393972369916,0.0,1,0,0
55,21,Urban,20,3.56,Night,Premium,134,519.469492374694,1.375,1.8095238095238095,1292.4895703132267,148.8095238095238,0,1,0
57,45,Rural,78,4.43,Afternoon,Premium,112,397.6919501475396,1.425,0.8444444444444444,397.6919501475396,0.0,1,0,0
34,8,Suburban,51,4.09,Afternoon,Premium,130,388.1122298927073,0.85,1.375,453.6061686871017,16.875,0,0,1
50,11,Suburban,19,4.87,Morning,Economy,144,591.1000759572743,1.25,1.0,591.1000759572743,0.0,0,0,1
35,22,Rural,82,3.79,Afternoon,Economy,174,586.7988633141081,0.875,1.7272727272727273,886.8664638724589,51.136363636363654,0,0,1
43,14,Suburban,1,3.53,Night,Premium,134,648.9097429236178,1.075,2.7142857142857144,1893.4259284592706,191.7857142857143,0,1,0
50,25,Suburban,19,4.32,Night,Economy,176,746.3391324597457,1.25,1.52,1418.0443516735168,90.0,0,0,1
55,19,Urban,64,4.34,Morning,Premium,129,555.0976877626003,1.375,2.0,1526.518641347151,175.00000000000003,0,1,0
93,67,Urban,21,4.88,Night,Premium,87,417.91314129159,1.1481481481481481,0.5671641791044776,383.86095940857155,-8.148148148148156,0,0,1
94,69,Urban,86,4.12,Morning,Premium,18,97.80093621671637,1.1604938271604939,0.5507246376811594,90.79790621601323,-7.16049382716048,0,0,1
70,60,Urban,57,4.05,Afternoon,Premium,43,193.0891119987856,1.75,0.6333333333333333,270.32475679829986,40.000000000000014,0,1,0
36,25,Suburban,61,3.64,Night,Economy,132,492.4640116460618,0.9,1.52,673.6907679318126,36.80000000000001,0,1,0
37,9,Suburban,73,4.8,Morning,Economy,124,408.81562882076287,0.925,1.2222222222222223,408.81562882076287,0.0,0,0,1
68,46,Urban,8,4.21,Afternoon,Economy,116,364.1617948077249,1.7,0.8260869565217391,364.1617948077249,0.0,1,0,0
77,15,Suburban,47,4.47,Morning,Economy,66,228.64349787316,1.925,2.533333333333333,1115.0181246281102,387.66666666666663,0,1,0
27,12,Suburban,64,4.7,Evening,Economy,149,667.9464280068869,0.675,3.1666666666666665,667.9464280068869,0.0,0,0,1
90,56,Suburban,61,4.38,Night,Premium,91,410.34270896598935,1.1111111111111112,0.6785714285714286,364.749074636435,-11.111111111111102,0,0,1
46,23,Suburban,19,4.92,Afternoon,Economy,169,710.4192641684332,1.15,1.6521739130434783,710.4192641684332,0.0,0,1,0
96,80,Urban,47,3.77,Morning,Economy,70,177.20306582722415,1.1851851851851851,0.475,168.01475871025698,-5.185185185185179,0,1,0
80,6,Rural,43,4.81,Night,Economy,24,74.32837977574499,2.0,1.8333333333333333,74.32837977574499,0.0,0,0,1
80,31,Suburban,91,4.61,Evening,Premium,127,392.3027600530253,2.0,1.2258064516129032,392.3027600530253,0.0,0,0,1
64,25,Suburban,85,4.46,Afternoon,Premium,37,168.61019430479575,1.6,1.52,410.0599925492633,143.20000000000002,0,0,1
57,42,Rural,36,3.59,Afternoon,Premium,167,587.2581373063812,1.425,0.9047619047619048,757.1435270271558,28.92857142857143,0,0,1
52,7,Rural,57,4.82,Night,Economy,180,563.9803272683639,1.3,1.5714285714285714,563.9803272683639,0.0,0,0,1
69,56,Urban,73,4.02,Night,Premium,116,352.3474982568331,1.725,0.6785714285714286,486.2395475944297,38.000000000000014,0,1,0
67,54,Suburban,53,3.67,Morning,Economy,110,415.3075369486595,1.675,0.7037037037037037,556.5120995112038,34.00000000000002,0,1,0
25,7,Rural,13,4.07,Afternoon,Premium,60,204.215843297379,0.625,1.5714285714285714,256.72848871670504,25.714285714285722,0,0,1
80,35,Rural,29,4.49,Night,Economy,79,319.6520700676685,2.0,1.0857142857142856,694.1016378612229,117.14285714285711,0,1,0
73,6,Suburban,5,4.03,Night,Premium,71,362.05333073474793,1.825,1.8333333333333333,1211.3701024166774,234.5833333333333,0,0,1
24,6,Urban,65,4.29,Afternoon,Premium,106,387.4755378090192,0.6,1.8333333333333333,568.2974554532283,46.66666666666669,0,1,0
37,14,Rural,18,4.36,Evening,Economy,85,348.8532987245396,0.925,2.7142857142857144,348.8532987245396,0.0,1,0,0
27,6,Rural,74,4.75,Afternoon,Premium,157,732.2985126943609,0.675,1.8333333333333333,732.2985126943609,0.0,0,1,0
23,11,Urban,11,4.86,Afternoon,Economy,133,343.6721333865543,0.575,1.0,274.93770670924346,-20.0,0,1,0
42,8,Rural,12,4.79,Morning,Premium,166,599.7162532373392,1.05,1.375,599.7162532373392,0.0,1,0,0
74,39,Urban,11,3.65,Morning,Economy,173,484.75453888236336,1.85,0.9743589743589743,873.8011303443627,80.25641025641026,0,0,1
68,30,Urban,28,4.69,Night,Premium,134,581.1514565564086,1.7,1.2666666666666666,581.1514565564086,0.0,0,1,0
59,9,Suburban,30,4.83,Afternoon,Economy,140,603.3651642705413,1.475,1.2222222222222223,603.3651642705413,0.0,0,0,1
89,75,Rural,76,4.39,Evening,Economy,110,369.8546414878244,1.0987654320987654,0.5066666666666667,325.1067959744827,-12.09876543209876,0,0,1
81,35,Suburban,45,4.11,Night,Economy,174,708.8801421484817,2.025,1.0857142857142856,1558.5236268093047,119.85714285714283,0,1,0
33,8,Suburban,74,4.52,Morning,Premium,56,205.83755050869485,0.825,1.375,205.83755050869485,0.0,0,1,0
75,28,Urban,49,4.46,Night,Economy,163,684.5607033083106,1.875,1.3571428571428572,684.5607033083106,0.0,1,0,0
87,48,Suburban,95,4.73,Morning,Economy,162,453.2541298779704,1.0740740740740742,0.7916666666666666,389.462807895145,-14.074074074074064,0,0,1
56,37,Suburban,96,3.83,Afternoon,Premium,130,412.5848379812361,1.4,1.027027027027027,593.230091367615,43.78378378378376,0,0,1
75,32,Urban,20,3.69,Evening,Premium,96,440.4442377359072,1.875,1.1875,980.6766230838559,122.65625,0,0,1
99,54,Rural,96,3.77,Afternoon,Premium,61,241.6407113776789,1.2222222222222223,0.7037037037037037,236.27091779150828,-2.222222222222217,0,0,1
33,16,Rural,81,4.08,Afternoon,Premium,50,201.29253189374316,0.825,2.375,394.40755467930296,95.93749999999997,0,1,0
41,28,Rural,89,4.47,Evening,Premium,45,220.05114029296504,1.025,1.3571428571428572,220.05114029296504,0.0,1,0,0
55,19,Suburban,74,3.51,Morning,Economy,173,702.9134159653358,1.375,2.0,1933.0118939046736,175.0,0,0,1
93,51,Rural,12,4.98,Morning,Premium,90,431.42166025583447,1.1481481481481481,0.7450980392156863,396.2687842349887,-8.14814814814815,0,0,1
54,35,Urban,11,4.49,Afternoon,Premium,96,466.8626810645626,1.35,1.0857142857142856,684.2873011032018,46.571428571428584,0,0,1
34,20,Urban,21,4.15,Morning,Premium,158,445.1263611668488,0.85,1.9,445.1263611668488,0.0,1,0,0
86,18,Suburban,61,4.3,Afternoon,Premium,126,441.6378571357946,1.0617283950617284,2.111111111111111,989.8988457611639,124.14266117969824,0,0,1
85,27,Suburban,8,4.11,Night,Premium,157,669.5210116683382,1.0493827160493827,1.4074074074074074,669.5210116683382,0.0,1,0,0
74,5,Suburban,80,3.63,Night,Economy,134,354.3852115042604,1.85,2.2,1442.3478108223399,307.0,0,1,0
63,53,Rural,33,4.33,Afternoon,Economy,175,489.7125242986789,1.575,0.7169811320754716,489.7125242986789,0.0,1,0,0
55,13,Suburban,45,3.71,Morning,Premium,40,222.56858200356248,1.375,2.923076923076923,894.55449305278,301.9230769230769,0,0,1
100,66,Suburban,27,3.53,Evening,Premium,106,412.2556067980849,1.2345679012345678,0.5757575757575758,407.1660314055159,-1.234567901234574,1,0,0
51,27,Urban,86,3.82,Evening,Premium,152,472.21573527678265,1.275,1.4074074074074074,472.21573527678265,0.0,1,0,0
37,10,Urban,33,4.86,Afternoon,Economy,44,179.93988033973832,0.925,1.1,179.93988033973832,0.0,0,0,1
99,71,Suburban,3,4.63,Morning,Premium,100,308.9111533232364,1.2222222222222223,0.5352112676056338,302.0464610271645,-2.2222222222222134,1,0,0
54,24,Rural,85,3.79,Evening,Economy,102,306.3142432341152,1.35,1.5833333333333333,654.7466949129214,113.75000000000004,0,0,1
30,7,Rural,57,4.27,Morning,Premium,69,224.46487829301583,0.75,1.5714285714285714,224.46487829301583,0.0,1,0,0
84,56,Urban,71,4.56,Evening,Premium,15,101.07378646994935,1.037037037037037,0.6785714285714286,83.85380803432835,-17.037037037037038,0,0,1
49,14,Suburban,55,4.43,Morning,Premium,131,633.4966221375331,1.225,2.7142857142857144,2106.376268607298,232.50000000000006,0,0,1
86,10,Urban,98,4.8,Morning,Economy,18,62.87509273644356,1.0617283950617284,1.1,62.87509273644356,0.0,0,0,1
48,24,Rural,17,3.98,Afternoon,Economy,29,92.03104706108972,1.2,1.5833333333333333,92.03104706108972,0.0,1,0,0
67,18,Urban,78,3.81,Morning,Premium,22,106.7358926414302,1.675,2.111111111111111,377.42997592372404,253.61111111111114,0,0,1
100,16,Rural,96,3.65,Night,Premium,163,560.6703257140985,1.2345679012345678,2.375,560.6703257140985,0.0,1,0,0
79,7,Rural,31,4.82,Night,Economy,100,322.9000694955284,1.975,1.5714285714285714,322.9000694955284,0.0,0,0,1
99,9,Rural,33,4.98,Afternoon,Economy,110,292.33936093553586,1.2222222222222223,1.2222222222222223,292.33936093553586,0.0,0,0,1
34,24,Urban,3,4.41,Morning,Economy,97,242.75171700488076,0.85,1.5833333333333333,326.70335246906865,34.583333333333314,0,0,1
54,21,Urban,23,4.44,Evening,Premium,136,442.7796305981407,1.35,1.8095238095238095,1081.6473833183154,144.28571428571433,0,0,1
77,43,Suburban,73,4.07,Afternoon,Premium,131,505.54671645728143,1.925,0.8837209302325582,860.0172629965149,70.11627906976746,0,1,0
80,21,Urban,85,4.21,Morning,Premium,146,474.9171617926677,2.0,1.8095238095238095,1718.747823630607,261.9047619047619,0,1,0
74,54,Urban,16,4.35,Afternoon,Premium,147,617.434678434942,1.85,0.7037037037037037,913.8033240837143,48.000000000000014,0,1,0
57,38,Urban,31,3.97,Morning,Premium,64,294.8553699465021,1.425,1.0,420.1689021737655,42.50000000000001,0,1,0
97,66,Urban,90,3.6,Evening,Premium,150,717.467322019467,1.1975308641975309,0.5757575757575758,687.3514097371684,-4.19753086419753,0,0,1
52,14,Suburban,97,4.83,Evening,Premium,66,266.9772170141728,1.3,2.7142857142857144,266.9772170141728,0.0,1,0,0
51,37,Rural,34,4.64,Afternoon,Economy,100,383.3711770715268,1.275,1.027027027027027,383.3711770715268,0.0,0,1,0
87,52,Urban,15,3.57,Night,Economy,66,266.4336179135411,1.0740740740740742,0.7307692307692307,228.9355531701539,-14.074074074074062,1,0,0
91,42,Suburban,76,4.96,Morning,Economy,86,336.39439243010713,1.123456790123457,0.9047619047619048,336.39439243010713,0.0,0,0,1
85,34,Rural,66,4.59,Morning,Premium,163,764.8593556145701,1.0493827160493827,1.1176470588235294,764.8593556145701,0.0,0,1,0
57,21,Rural,28,4.93,Night,Economy,141,588.6941797749441,1.425,1.8095238095238095,588.6941797749441,0.0,0,0,1
28,8,Urban,67,3.78,Afternoon,Premium,58,305.2426676647312,0.7,1.375,335.76693443120433,10.000000000000009,0,1,0
58,30,Urban,32,4.14,Night,Economy,75,256.37380365626416,1.45,1.2666666666666666,470.8732193820051,83.66666666666664,0,1,0
31,9,Rural,18,4.42,Morning,Premium,114,461.0193485856391,0.775,1.2222222222222223,450.77447417262493,-2.22222222222221,1,0,0
27,11,Suburban,88,4.5,Evening,Premium,144,581.7472844259253,0.675,1.0,465.39782754074025,-19.999999999999993,1,0,0
90,75,Urban,88,4.1,Afternoon,Economy,106,472.5465909334413,1.1111111111111112,0.5066666666666667,420.04141416305896,-11.111111111111102,1,0,0
54,8,Suburban,41,3.89,Morning,Economy,168,573.4835718398938,1.35,1.375,1064.528880227803,85.62500000000003,0,1,0
23,9,Suburban,50,3.84,Evening,Premium,34,192.3850221961644,0.575,1.2222222222222223,188.1097994806941,-2.222222222222215,0,0,1
94,64,Urban,62,4.87,Night,Economy,166,744.0359811402852,1.1604938271604939,0.59375,690.7593306388821,-7.160493827160486,0,1,0
86,20,Suburban,51,3.75,Morning,Premium,110,412.25746306035046,1.0617283950617284,1.9,831.6403637538427,101.72839506172839,0,0,1
79,55,Suburban,91,4.39,Morning,Economy,48,189.5605649707772,1.975,0.6909090909090909,299.50569265382796,57.99999999999999,0,1,0
73,13,Urban,93,3.95,Night,Economy,90,357.0434721850994,1.825,2.923076923076923,1904.6895996951264,433.46153846153845,0,1,0
74,23,Urban,45,4.07,Morning,Premium,99,417.1740953777763,1.85,1.6521739130434783,1275.101691524247,205.6521739130435,0,1,0
26,11,Urban,10,4.22,Morning,Premium,69,314.84471031916905,0.65,1.0,251.87576825533526,-19.999999999999996,1,0,0
99,30,Urban,74,4.21,Morning,Premium,160,629.9546011362719,1.2222222222222223,1.2666666666666666,975.2630491665248,54.81481481481484,0,1,0
80,42,Urban,85,4.22,Night,Economy,131,473.5617540035448,2.0,0.9047619047619048,473.5617540035448,0.0,1,0,0
78,35,Rural,5,4.35,Evening,Premium,100,317.88095784682014,1.95,1.0857142857142856,672.9993993271248,111.71428571428568,0,1,0
63,6,Urban,29,4.79,Evening,Premium,24,132.49921949173307,1.575,1.8333333333333333,132.49921949173307,0.0,1,0,0
25,8,Rural,30,4.44,Night,Economy,115,430.7858509781543,0.625,1.375,473.86443607596976,10.000000000000004,0,1,0
100,50,Urban,20,4.14,Evening,Economy,127,350.2265835541767,1.2345679012345678,0.76,345.90279857202637,-1.2345679012345756,0,1,0
46,8,Urban,32,4.81,Afternoon,Economy,112,466.42747932165264,1.15,1.375,466.42747932165264,0.0,0,0,1
59,29,Urban,90,4.3,Night,Economy,145,651.7303890276737,1.475,1.3103448275862069,1259.637527758659,93.27586206896551,0,1,0
21,11,Rural,18,4.2,Morning,Premium,49,266.34807324582846,0.525,1.0,213.07845859666278,-19.999999999999993,1,0,0
64,7,Rural,48,4.67,Evening,Economy,64,266.38537677090085,1.6,1.5714285714285714,266.38537677090085,0.0,0,0,1
52,22,Suburban,72,3.6,Morning,Premium,101,303.803226426852,1.3,1.7272727272727273,303.803226426852,0.0,1,0,0
100,56,Suburban,67,4.2,Evening,Economy,169,461.9661913503604,1.2345679012345678,0.6785714285714286,456.26290503739295,-1.234567901234579,0,0,1
83,72,Rural,25,4.62,Night,Premium,45,201.0575405594342,1.0246913580246915,0.5277777777777778,164.8175394215609,-18.02469135802468,0,1,0
89,10,Rural,36,4.12,Afternoon,Premium,13,94.21444738997974,1.0987654320987654,1.1,113.87153579603725,20.86419753086421,0,0,1
100,37,Rural,47,4.7,Afternoon,Economy,142,546.8574476673242,1.2345679012345678,1.027027027027027,546.8574476673242,0.0,0,0,1
71,7,Urban,31,4.83,Morning,Premium,60,292.74683013160404,1.775,1.5714285714285714,292.74683013160404,0.0,1,0,0
94,26,Suburban,0,3.94,Afternoon,Premium,40,150.90603765991335,1.1604938271604939,1.4615384615384615,255.95269065584546,69.61063627730296,0,1,0
52,23,Urban,41,4.23,Evening,Economy,134,534.90663340905,1.3,1.6521739130434783,1148.8864213220465,114.7826086956522,0,1,0
27,15,Urban,31,4.95,Afternoon,Economy,103,315.2654030422818,0.675,2.533333333333333,315.2654030422818,0.0,0,0,1
88,62,Urban,62,4.82,Afternoon,Economy,162,601.2360266422271,1.0864197530864197,0.6129032258064516,522.5557564890468,-13.086419753086421,0,1,0
48,38,Suburban,64,4.97,Night,Premium,152,701.4695729515377,1.2,1.0,701.4695729515377,0.0,0,0,1
53,35,Suburban,1,3.67,Morning,Premium,88,392.0078846224547,1.325,1.0857142857142856,563.9313425925883,43.857142857142826,0,1,0
31,12,Suburban,34,4.7,Night,Economy,105,331.8375249153692,0.775,3.1666666666666665,331.8375249153692,0.0,1,0,0
56,34,Suburban,1,4.56,Afternoon,Economy,121,307.5259290756184,1.4,1.1176470588235294,307.5259290756184,0.0,0,0,1
48,35,Rural,47,4.26,Morning,Economy,26,68.27174499943663,1.2,1.0857142857142856,68.27174499943663,0.0,1,0,0
93,66,Suburban,22,3.91,Night,Economy,180,765.4397485645513,1.1481481481481481,0.5757575757575758,703.070583866699,-8.148148148148142,0,0,1
49,18,Rural,62,4.92,Afternoon,Economy,62,168.36628924698925,1.225,2.111111111111111,168.36628924698925,0.0,0,0,1
72,33,Rural,63,4.25,Evening,Economy,132,351.7736189685264,1.8,1.1515151515151516,351.7736189685264,0.0,1,0,0
62,11,Suburban,37,4.23,Morning,Premium,71,363.3457529659053,1.55,1.0,363.3457529659053,0.0,1,0,0
39,15,Suburban,53,4.6,Evening,Premium,38,201.7146762833217,0.975,2.533333333333333,201.7146762833217,0.0,0,1,0
67,56,Urban,49,4.22,Afternoon,Premium,23,121.43999901863724,1.675,0.6785714285714286,121.43999901863724,0.0,1,0,0
88,15,Urban,39,4.51,Afternoon,Economy,137,598.7750233051204,1.0864197530864197,2.533333333333333,598.7750233051204,0.0,0,1,0
29,16,Urban,75,4.11,Morning,Premium,80,371.1242881043308,0.725,2.375,705.1361473982286,90.00000000000001,0,0,1
100,24,Urban,88,4.49,Night,Economy,56,173.66696747925593,1.2345679012345678,1.5833333333333333,339.4724672948418,95.47325102880656,0,0,1
98,43,Suburban,62,4.98,Morning,Economy,130,538.5185280064754,1.2098765432098766,0.8837209302325582,538.5185280064754,0.0,1,0,0
35,10,Rural,40,3.54,Night,Economy,75,281.9625670059949,0.875,1.1,271.38897074327014,-3.749999999999989,1,0,0
58,14,Rural,10,3.77,Morning,Economy,95,258.01445968829404,1.45,2.7142857142857144,258.01445968829404,0.0,1,0,0
22,7,Urban,53,4.43,Morning,Premium,98,476.2019961536034,0.55,1.5714285714285714,476.2019961536034,0.0,1,0,0
84,37,Suburban,94,3.83,Night,Economy,28,124.64550323605349,1.037037037037037,1.027027027027027,132.75557101417508,6.5065065065065,0,1,0
91,14,Suburban,19,4.78,Night,Premium,19,111.11271494112724,1.123456790123457,2.7142857142857144,111.11271494112724,0.0,0,0,1
56,29,Urban,67,4.49,Afternoon,Economy,125,421.8171879075184,1.4,1.3103448275862069,421.8171879075184,0.0,1,0,0
97,21,Rural,36,3.72,Evening,Premium,23,134.0510144913575,1.1975308641975309,1.8095238095238095,290.4832683216601,116.69606114050562,0,1,0
57,47,Urban,26,3.8,Morning,Economy,30,132.4032477391118,1.425,0.8085106382978723,132.4032477391118,0.0,1,0,0
94,27,Suburban,100,3.6,Night,Premium,172,547.9814624298182,1.1604938271604939,1.4074074074074074,895.0113323270739,63.32876085962506,0,0,1
84,6,Suburban,24,3.74,Morning,Economy,68,281.96824577029594,1.037037037037037,1.8333333333333333,281.96824577029594,0.0,1,0,0
40,11,Rural,1,4.24,Night,Premium,35,182.46632143825187,1.0,1.0,182.46632143825187,0.0,0,0,1
65,36,Suburban,20,4.39,Night,Premium,87,313.7742265682814,1.625,1.0555555555555556,538.2099580719827,71.52777777777779,0,0,1
